code_postal,nom,code_insee,latitude,longitude,code_departement,nom_departement,code_region,nom_region
1330,Bouligneux,1052,46.0232774841,4.99252709276,1,Ain,84,Auvergne-Rhône-Alpes
1000,Bourg-en-Bresse,1053,46.2051520382,5.24602125501,1,Ain,84,Auvergne-Rhône-Alpes
1000,Bourg-en-Bresse,1053,46.2051520382,5.24602125501,1,Ain,84,Auvergne-Rhône-Alpes
1800,Bourg-Saint-Christophe,1054,45.8861934456,5.14349196896,1,Ain,84,Auvergne-Rhône-Alpes
1800,Bourg-Saint-Christophe,1054,45.8861934456,5.14349196896,1,Ain,84,Auvergne-Rhône-Alpes
1640,Boyeux-Saint-Jérôme,1056,46.0363677631,5.46322744717,1,Ain,84,Auvergne-Rhône-Alpes
1190,Boz,1057,46.4051688134,4.9135797178,1,Ain,84,Auvergne-Rhône-Alpes
1300,Brégnier-Cordon,1058,45.6416854652,5.61653371,1,Ain,84,Auvergne-Rhône-Alpes
1260,Brénaz,1059,45.9500082947,5.7371892334,1,Ain,84,Auvergne-Rhône-Alpes
1110,Brénod,1060,46.0759940484,5.61418361314,1,Ain,84,Auvergne-Rhône-Alpes
1300,Brens,1061,45.7135069062,5.68998154517,1,Ain,84,Auvergne-Rhône-Alpes
1360,Bressolles,1062,45.869423064,5.1009428902,1,Ain,84,Auvergne-Rhône-Alpes
1360,Bressolles,1062,45.869423064,5.1009428902,1,Ain,84,Auvergne-Rhône-Alpes
1460,Brion,1063,46.1686327301,5.54656422194,1,Ain,84,Auvergne-Rhône-Alpes
1470,Briord,1064,45.7708330939,5.48537461884,1,Ain,84,Auvergne-Rhône-Alpes
1310,Buellas,1065,46.2104135162,5.14487465017,1,Ain,84,Auvergne-Rhône-Alpes
1310,Buellas,1065,46.2104135162,5.14487465017,1,Ain,84,Auvergne-Rhône-Alpes
1510,La Burbanche,1066,45.8598709332,5.54609714598,1,Ain,84,Auvergne-Rhône-Alpes
1430,Ceignes,1067,46.1256533435,5.49457379202,1,Ain,84,Auvergne-Rhône-Alpes
1450,Cerdon,1068,46.0720202633,5.47577586118,1,Ain,84,Auvergne-Rhône-Alpes
1240,Certines,1069,46.1337950959,5.26239539372,1,Ain,84,Auvergne-Rhône-Alpes
1170,Cessy,1071,46.315689376,6.0779844362,1,Ain,84,Auvergne-Rhône-Alpes
1250,Ceyzériat,1072,46.1832170988,5.32007207542,1,Ain,84,Auvergne-Rhône-Alpes
1350,Ceyzérieu,1073,45.8335530148,5.71933090966,1,Ain,84,Auvergne-Rhône-Alpes
1320,Chalamont,1074,46.0076491739,5.16936568,1,Ain,84,Auvergne-Rhône-Alpes
1480,Chaleins,1075,46.0340545373,4.79853838574,1,Ain,84,Auvergne-Rhône-Alpes
1230,Chaley,1076,45.9533367734,5.53682505273,1,Ain,84,Auvergne-Rhône-Alpes
1450,Challes-la-Montagne,1077,46.1221539654,5.45755377201,1,Ain,84,Auvergne-Rhône-Alpes
1630,Challex,1078,46.1768358327,5.97115092939,1,Ain,84,Auvergne-Rhône-Alpes
1260,Champagne-en-Valromey,1079,45.9316447397,5.69321890072,1,Ain,84,Auvergne-Rhône-Alpes
